Input Line,Processed Line,Digits in Line,Calibration Value
3fiveone,351,"3, 5, 1",31
eightnineseventwo1seven,8nineseventwo17,"8, 1, 7",87
9h1xcrcggtwo38,9h1xcrcgg238,"9, 1, 2, 3, 8",98
nine4pvtl,94pvtl,"9, 4",94
seven7rsbqpgxtjzsgxssix,77rsbqpgxtjzsgxs6,"7, 7, 6",76
twofivethreepqgsvrszczrthree7,2fivethreepqgsvrszczr37,"2, 3, 7",27
44qcrkvr1two,44qcrkvr12,"4, 4, 1, 2",42
zstrmphtxdvdpsnhpnq4threenbjznsb,zstrmphtxdvdpsnhpnq43nbjznsb,"4, 3",43
bhgxhb41eight,bhgxhb418,"4, 1, 8",48
qhstsbxsspsrfourmtvtnfhxlj699one,qhstsbxsspsr4mtvtnfhxlj6991,"4, 6, 9, 9, 1",41
onekvhgkeighteight6two7ninelnfzbr,1kvhgkeighteight6two79lnfzbr,"1, 6, 7, 9",19
xsixz5six3gfqrzmpnjgskd6,x6z563gfqrzmpnjgskd6,"6, 5, 6, 3, 6",66
qfrpksmzzvfkddtfh6838,qfrpksmzzvfkddtfh6838,"6, 8, 3, 8",68
mztttgnxdqt4,mztttgnxdqt4,4,44
8threesevenfourgbgteight5twonenjr,83sevenfourgbgteight5tw1njr,"8, 3, 5, 1",81
bpzkn2rbbjtdtlznl,bpzkn2rbbjtdtlznl,2,22
glckqhjsbsznseight5dtnxnsix7,glckqhjsbszns85dtnxn67,"8, 5, 6, 7",87
2shd3ksrtmbs62vvdvhd,2shd3ksrtmbs62vvdvhd,"2, 3, 6, 2",22
9ninemdkkqjzjfour9mzspzjgmlhfq,99mdkkqjzj49mzspzjgmlhfq,"9, 9, 4, 9",99
7twoqjbshcfxldnkc33one83,72qjbshcfxldnkc33183,"7, 2, 3, 3, 1, 8, 3",73
zstxvfdthreeseven7mdfpgzgfourdfshplvqflfprt1,zstxvfd3seven7mdfpgzg4dfshplvqflfprt1,"3, 7, 4, 1",31
9mndn31msfprm1kpk,9mndn31msfprm1kpk,"9, 3, 1, 1",91
tmczplnmrsevenhmhprtllcktpr8eight9,tmczplnmr7hmhprtllcktpr889,"7, 8, 8, 9",79
49nine29917five,499299175,"4, 9, 9, 2, 9, 9, 1, 7, 5",45
6qspssvm8,6qspssvm8,"6, 8",68
7fourninefourcpfgpmxqjsjxmjfntwonine,74ninefourcpfgpmxqjsjxmjfntwo9,"7, 4, 9",79
3nxfjmzhseven22one,3nxfjmzh7221,"3, 7, 2, 2, 1",31
tzgnljxhs9nine1lvqgsix9four,tzgnljxhs991lvqgsix94,"9, 9, 1, 9, 4",94
eightthree9eightfourninexl6gsdhljppfb,8three9eightfour9xl6gsdhljppfb,"8, 9, 9, 6",86
9g,9g,9,99
